repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
logspace-ai/langflow,AI engineering,AIE framework,15476,123,0.79%,196,1.27%,2301,"⛓️ Langflow is a dynamic graph where each node is an executable unit. Its modular and interactive design fosters rapid experimentation and prototyping, pushing hard on the limits of creativity.","ogabrielluiz, anovazzi1, lucaseduoli",83,2023-02-08,2024-04-04,1089
songquanpeng/one-api,AI engineering,AIE framework,12504,110,0.88%,408,3.26%,2966,"OpenAI 接口管理 & 分发系统，支持 Azure、Anthropic Claude、Google PaLM 2 & Gemini、智谱 ChatGLM、百度文心一言、讯飞星火认知、阿里通义千问、360 智脑以及腾讯混元，可用于二次分发管理 key，仅单可执行文件，已打包好 Docker 镜像，一键部署，开箱即用. OpenAI key management & redistribution system, using a single API for all LLMs, and features an English UI.","songquanpeng, mrhaoji, igophper",76,2023-04-22,2024-04-04,3090
ggerganov/llama.cpp,Model development,Inference optimization,54372,100,0.18%,524,0.96%,7679,LLM inference in C/C++,"ggerganov, slaren, ikawrakow",100+,2023-03-10,2024-04-04,182748
KillianLucas/open-interpreter,Applications,Workflow automation,46628,96,0.21%,962,2.06%,4024,A natural language interface for computers,"KillianLucas, Notnaton, ericrallen",90,2023-07-14,2024-03-28,41
princeton-nlp/SWE-bench,AI engineering,Evals,938,96,10.23%,217,23.13%,148,[ICLR 2024] SWE-Bench: Can Language Models Resolve Real-world Github Issues?,"john-b-yang, carlosejimenez, klieret",11,2023-10-04,2024-04-02,0
xai-org/grok-1,Model repo,,46567,93,0.20%,1120,2.41%,7783,Grok open release,"ibab, syzymon, mane",6,2024-03-17,2024-03-19,0
netease-youdao/QAnything,AI engineering,AIE framework,6293,90,1.43%,456,7.25%,589,Question and Answer based on Anything.,"xixihahaliu, successren, vsou",12,2024-01-03,2024-04-01,0
modularml/mojo,Model development,Modeling & training,19645,88,0.45%,2248,11.44%,2306,The Mojo Programming Language,"abduld, JoeLoser, scottamain",86,2023-04-28,2024-04-04,0
imartinez/privateGPT,Applications,Info aggregation,50983,82,0.16%,386,0.76%,6776,"Interact with your documents using the power of GPT, 100% privately, no data leaks","imartinez, lopagela, pabloogc",70,2023-05-02,2024-04-04,0
upscayl/upscayl,Applications,Image production,25357,79,0.31%,1495,5.90%,1106,"🆙 Upscayl - Free and Open Source AI Image Upscaler for Linux, MacOS and Windows built with Linux-First philosophy.","NayamAmarshe, aaronliu0130, TGS963",21,2022-07-30,2024-03-04,5556784
langchain-ai/langchain,AI engineering,AIE framework,81221,76,0.09%,656,0.81%,12374,🦜🔗 Build context-aware reasoning applications,"hwchase17, baskaryan, efriis",100+,2022-10-17,2024-04-04,4816
paul-gauthier/aider,Applications,Coding,7236,73,1.01%,199,2.75%,815,aider is AI pair programming in your terminal,"paul-gauthier, joshuavial, fahmad91",15,2023-05-09,2024-03-21,0
AUTOMATIC1111/stable-diffusion-webui,Applications,Image production,127663,71,0.06%,683,0.54%,24856,Stable Diffusion web UI,"AUTOMATIC1111, w-e-w, dfaker",100+,2022-08-22,2024-04-01,531852
comfyanonymous/ComfyUI,AI engineering,AIE framework,30639,69,0.23%,600,1.96%,3190,"The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface.","comfyanonymous, pythongosssss, space-nuko",95,2023-01-17,2024-01-13,552309
joaomdmoura/crewAI,AI engineering,Agent,11204,69,0.62%,792,7.07%,1385,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","joaomdmoura, greysonlalonde, gvieira",39,2023-10-27,2024-04-04,0
tensorflow/tensorflow,Model development,Modeling & training,181969,69,0.04%,379,0.21%,73798,An Open Source Machine Learning Framework for Everyone,"mihaimaruseac, ezhulenev, yongtang",100+,2015-11-07,2024-04-04,0
abi/screenshot-to-code,Applications,Coding,47651,65,0.14%,561,1.18%,5649,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),"abi, clean99, kachbit",18,2023-11-14,2024-03-20,0
RVC-Boss/GPT-SoVITS,AI engineering,AI interface,20861,64,0.31%,681,3.26%,2357,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),"RVC-Boss, Yuan-ManX, KamioRinn",53,2024-01-14,2024-03-10,0
lobehub/lobe-chat,AI engineering,AIE framework,26155,64,0.24%,670,2.56%,5815,"🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Perplexity / Bedrock / Azure / Mistral / Ollama ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application.","arvinxx, canisminor1990, lobehubbot",86,2023-05-21,2024-04-04,0
hiyouga/LLaMA-Factory,Model development,Modeling & training,15553,60,0.39%,612,3.93%,1877,Unify Efficient Fine-Tuning of 100+ LLMs,"hiyouga, codemayq, wangxingjun778",53,2023-05-28,2024-03-15,0
TaskingAI/TaskingAI,AI engineering,AIE framework,3701,52,1.41%,224,6.05%,213,The open source platform for AI-native application development.,"jameszyao, taskingaiwww, taskingaijc",10,2024-01-08,2024-03-12,0
xtekky/gpt4free,AI engineering,AI interface,56059,49,0.09%,879,1.57%,12760,The official gpt4free repository | various collection of powerful language models,"xtekky, hlohaus, bagusindrayana",100+,2023-03-29,2024-03-28,0
microsoft/autogen,AI engineering,Agent,23986,49,0.20%,333,1.39%,3321,A programming framework for agentic AI. Discord: https://aka.ms/autogen-dc. Roadmap: https://aka.ms/autogen-roadmap,"sonichi, skzhang1, qingyun-wu",100+,2023-08-18,2024-04-04,0
vllm-project/vllm,Infrastructure,Serving,17125,48,0.28%,354,2.07%,2200,A high-throughput and memory-efficient inference and serving engine for LLMs,"WoosukKwon, zhuohan123, simon-mo",100+,2023-02-09,2024-04-04,7888
langgenius/dify,AI engineering,AIE framework,18979,48,0.25%,545,2.87%,2471,"Dify is an open-source LLM app development platform. It has the core tech required to build AI-native apps, including RAG, agent capabilities, model management, observability and more, packaged into one intuitive interface.","takatost, iamjoel, crazywoola",100+,2023-04-12,2024-04-04,0
Pythagora-io/gpt-pilot,Applications,Coding,26958,47,0.17%,564,2.09%,2667,The first real AI developer,"LeonOstrez, nalbion, senko",39,2023-08-16,2024-04-01,0
openai/whisper,Model repo,,59133,47,0.08%,368,0.62%,6772,Robust Speech Recognition via Large-Scale Weak Supervision,"jongwook, ryanheise, EliEron",65,2022-09-16,2022-09-26,0
PlexPt/awesome-chatgpt-prompts-zh,Lists,Prompt engineering,49761,45,0.09%,264,0.53%,13408,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,"PlexPt, ImgBotApp, kztera",24,2022-12-12,2024-03-23,0
stanfordnlp/dspy,AI engineering,Prompt engineering,9369,44,0.47%,469,5.01%,665,DSPy: The framework for programming—not prompting—foundation models,"okhat, arnavsinghvi11, thomasahle",100+,2023-01-09,2024-04-01,0
ChatGPTNextWeb/ChatGPT-Next-Web,AI engineering,AI interface,66349,44,0.07%,498,0.75%,54128,A cross-platform ChatGPT/Gemini UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT/Gemini 应用。,"Yidadaa, H0llyW00dzZ, fred-bf",100+,2023-03-10,2024-04-04,162109
state-spaces/mamba,Model repo,,8568,41,0.48%,357,4.17%,676,,"tridao, albertfgu, epicfilemcnulty",14,2023-12-01,2024-03-23,2595
f/awesome-chatgpt-prompts,Lists,Prompt engineering,102623,40,0.04%,343,0.33%,13810,This repo includes ChatGPT prompt curation to use ChatGPT better.,"f, iuzn, fengkiej",80,2022-12-05,2024-01-08,0
mlabonne/llm-course,Tutorials,,27333,39,0.14%,377,1.38%,2760,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,"mlabonne, pitmonticone",2,2023-06-17,2024-01-02,0
BerriAI/litellm,AI engineering,AIE framework,7324,39,0.53%,323,4.41%,804,"Call all LLM APIs using the OpenAI format. Use Bedrock, Azure, OpenAI, Cohere, Anthropic, Ollama, Sagemaker, HuggingFace, Replicate (100+ LLMs)","ishaan-jaff, krrishdholakia, coconut49",100+,2023-07-27,2024-03-30,66
Giskard-AI/giskard,AI engineering,Evals,2862,38,1.33%,102,3.56%,183,🐢 Evaluation & Testing framework for LLMs and ML models,"andreybavt, kevinmessiaen, mattbit",38,2022-03-06,2024-04-04,230
FlowiseAI/Flowise,AI engineering,AIE framework,22946,37,0.16%,230,1.00%,11675,Drag & drop UI to build your customized LLM flow,"HenryHengZJ, chungyau97, vinodkiran",86,2023-03-31,2024-04-04,0
suno-ai/bark,Model repo,Multimodal,31878,37,0.12%,267,0.84%,3749,🔊 Text-Prompted Generative Audio Model,"gkucsko, kmfreyberg, mcamac",16,2023-04-07,2023-07-19,0
huggingface/transformers,Model development,Modeling & training,123644,37,0.03%,412,0.33%,24543,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.","thomwolf, sgugger, LysandreJik",100+,2018-10-29,2023-05-18,1820
lllyasviel/Fooocus,Applications,Image production,33840,35,0.10%,383,1.13%,4071,Focus on prompting and generating,"lllyasviel, mashb1t, MoonRide303",49,2023-08-09,2024-03-10,175636
Significant-Gravitas/AutoGPT,AI engineering,Agent,160425,33,0.02%,350,0.22%,41575,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.","Pwuts, waynehamadi, Torantulino",100+,2023-03-16,2024-03-25,3510
outlines-dev/outlines,AI engineering,Prompt engineering,5304,33,0.62%,168,3.17%,251,Structured Text Generation,"rlouf, brandonwillard, RobinPicard",62,2023-03-17,2024-04-04,0
continuedev/continue,Applications,Coding,9952,32,0.32%,248,2.49%,586,⏩ The easiest way to code with any LLM—Continue is an open-source autopilot for VS Code and JetBrains,"sestinj, TyDunn, LangLangBart",71,2023-05-24,2024-04-04,2
rasbt/LLMs-from-scratch,Tutorials,,13185,32,0.24%,274,2.08%,1083,"Implementing a ChatGPT-like LLM from scratch, step by step","rasbt, Intelligence-Manifesto, rayedbw",13,2023-07-23,2024-04-04,0
pathwaycom/llm-app,AI engineering,AIE framework,2376,32,1.35%,193,8.12%,148,"LLM App templates for RAG, knowledge mining, and stream analytics. Ready to run with Docker,⚡in sync with your data sources.","pw-ppodhajski, berkecanrizai, dxtrous",17,2023-07-19,2023-11-17,12
oobabooga/text-generation-webui,AI engineering,AI interface,35211,32,0.09%,284,0.81%,4698,"A Gradio web UI for Large Language Models. Supports transformers, GPTQ, AWQ, EXL2, llama.cpp (GGUF), Llama models.","oobabooga, jllllll, mcmonkey4eva",100+,2022-12-21,2023-12-31,106573
hpcaitech/Open-Sora,Model repo,Multimodal,13869,32,0.23%,459,3.31%,1245,Open-Sora: Democratizing Efficient Video Production for All,"zhengzangw, xyupeng, FrankLeeeee",20,2024-02-20,2024-03-23,0
KillianLucas/01,Applications,Workflow automation,4004,32,0.80%,362,9.04%,374,The open-source language model computer,"KillianLucas, tyfiero, shivenmian",36,2024-01-11,2024-04-03,0
geekan/MetaGPT,AI engineering,Agent,38172,31,0.08%,445,1.17%,4494,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming","geekan, better629, garylin2099",75,2023-06-30,2024-04-04,583
nomic-ai/gpt4all,AI engineering,AIE framework,63235,31,0.05%,222,0.35%,6944,gpt4all: run open-source LLMs anywhere,"manyoso, cebtenzzre, AndriyMulyar",96,2023-03-27,2024-04-03,6930
danny-avila/LibreChat,AI engineering,AI interface,9339,31,0.33%,228,2.44%,1692,"Enhanced ChatGPT Clone: Features OpenAI, Assistants API, Azure, Groq, GPT-4 Vision, Mistral, Bing, Anthropic, OpenRouter, Google Gemini, AI model switching, message search, langchain, DALL-E-3, ChatGPT Plugins, OpenAI Functions, Secure Multi-User System, Presets, completely open-source for self-hosting. More features in development","danny-avila, wtlyu, fuegovic",100+,2023-02-12,2024-04-04,0
binary-husky/gpt_academic,Applications,Info aggregation,53940,29,0.05%,396,0.73%,6809,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。","binary-husky, binary-sky, Skyzayre",75,2023-03-20,2024-04-04,14413
facefusion/facefusion,Applications,Image production,13741,29,0.21%,158,1.15%,1871,Next generation face swapper and enhancer,henryruhs,1,2023-08-17,2024-04-03,0
assafelovic/gpt-researcher,Applications,Info aggregation,7936,29,0.37%,144,1.81%,1002,GPT based autonomous agent that does online comprehensive research on any given topic,"assafelovic, rotemweiss57, gregdrizz",28,2023-05-12,2024-04-04,0
go-skynet/LocalAI,AI engineering,AIE framework,18483,29,0.16%,235,1.27%,1359,":robot: The free, Open Source OpenAI alternative. Self-hosted, community-driven and local-first. Drop-in replacement for OpenAI running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. It allows to generate Text, Audio, Video, Images. Also with voice cloning capabilities.","mudler, localai-bot, ci-robbot",79,2023-03-18,2024-04-04,5954
argmaxinc/WhisperKit,Infrastructure,Serving,2031,29,1.43%,146,7.19%,169,Swift native on-device speech recognition with Whisper for Apple Silicon,"ZachNagengast, jkrukowski, finnvoor",11,2024-01-26,2024-03-30,0
vanna-ai/vanna,Applications,Coding,6109,28,0.46%,140,2.29%,392,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.,"zainhoda, andreped, arslanhashmi",19,2023-05-13,2024-04-01,0
chatchat-space/Langchain-Chatchat,AI engineering,AIE framework,26241,28,0.11%,524,2.00%,4599,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain ","imClumsyPanda, hzg0601, liunux4odoo",100+,2023-03-31,2024-04-03,0
jxnl/instructor,AI engineering,Prompt engineering,4222,28,0.66%,197,4.67%,338,structured outputs for llms ,"jxnl, ivanleomk, Anmol6",95,2023-06-14,2023-06-23,0
microsoft/UFO,Applications,Workflow automation,3523,27,0.77%,171,4.85%,404,A UI-Focused Agent for Windows OS Interaction.,"vyokky, Mac0q, microsoftopensource",11,2024-01-08,2024-04-04,0
run-llama/llama_index,AI engineering,AIE framework,30239,27,0.09%,371,1.23%,4044,LlamaIndex is a data framework for your LLM applications,"jerryjliu, logan-markewich, Disiok",100+,2022-11-02,2024-04-04,1237
dair-ai/Prompt-Engineering-Guide,Tutorials,Prompt engineering,43039,26,0.06%,194,0.45%,4072,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering","omarsar, ThunderCatXp, giornaledisistema",100+,2022-12-16,2024-03-26,0
ggerganov/whisper.cpp,Model development,Inference optimization,29315,26,0.09%,160,0.55%,2824,Port of OpenAI's Whisper model in C/C++,"ggerganov, ikawrakow, slaren",100+,2022-09-25,2024-04-04,76632
xorbitsai/inference,Infrastructure,Serving,2228,24,1.08%,106,4.76%,178,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.","UranusSeven, aresnow1, ChengjieLi28",39,2023-06-14,2024-04-03,0
karpathy/nanoGPT,Model repo,,30846,24,0.08%,188,0.61%,4596,"The simplest, fastest repository for training/finetuning medium-sized GPTs.","karpathy, apivovarov, danielgross",33,2022-12-28,2024-02-27,0
coqui-ai/TTS,Model development,Modeling & training,28557,23,0.08%,262,0.92%,3313,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production","erogol, Edresson, WeberJulian",100+,2020-05-20,2023-11-24,1739417
StanGirard/quivr,Applications,Workflow automation,31487,23,0.07%,621,1.97%,3041,"Your GenAI Second Brain 🧠  A personal productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Local & Private alternative to OpenAI GPTs & ChatGPT powered by retrieval-augmented generation.","StanGirard, mamadoudicko, Zewed",100+,2023-05-12,2024-04-02,0
JushBJJ/Mr.-Ranedeer-AI-Tutor,Applications,Education,26065,23,0.09%,195,0.75%,2976,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.,"JushBJJ, angelkurten, Livshitz",12,2023-03-31,2023-11-09,1864
Unstructured-IO/unstructured,AI engineering,AIE framework,5574,23,0.41%,104,1.87%,402,"Open source libraries and APIs to build custom preprocessing pipelines for labeling, training, or production machine learning pipelines. ","MthwRobinson, cragwolfe, rbiseck3",90,2022-09-26,2024-04-04,0
facebookresearch/llama,Model repo,,51969,23,0.04%,232,0.45%,8952,Inference code for Llama models,"jspisak, ruanslv, sekyondaMeta",45,2023-02-14,2023-09-03,0
guillaumekln/faster-whisper,Infrastructure,Serving,8278,23,0.28%,137,1.65%,681,Faster Whisper transcription with CTranslate2,"guillaumekln, Purfview, trungkienbkhn",31,2023-02-11,2024-04-02,0
ShishirPatil/gorilla,Applications,Coding,9728,22,0.23%,111,1.14%,711,Gorilla: An API store for LLMs,"ShishirPatil, tianjunz, Fanjia-Yan",29,2023-05-19,2024-04-04,0
photoprism/photoprism,Applications,Data organization,32296,22,0.07%,144,0.45%,1752,AI-Powered Photos App for the Decentralized Web 🌈💎✨,"lastzero, graciousgrey, weblate",100+,2018-01-27,2024-04-04,171
THUDM/ChatGLM3,Model repo,Multilingual,11440,21,0.18%,232,2.03%,1294,ChatGLM3 series: Open Bilingual Chat LLMs | 开源双语对话语言模型,"zRzRzRzRzRzRzR, duzx16, Btlmd",30,2023-10-26,2024-04-04,0
getcursor/cursor,Applications,Coding,19840,21,0.11%,62,0.31%,1341,An AI-powered code editor based on VSCode 🤖,"truell20, Sanger2000, terror",28,2023-03-12,2023-04-06,0
hegelai/prompttools,AI engineering,Prompt engineering,2374,21,0.88%,84,3.54%,185,"Open-source tools for prompt testing and experimentation, with support for both LLMs (e.g. OpenAI, LLaMA) and vector databases (e.g. Chroma, Weaviate, LanceDB).","steventkrawczyk, NivekT, HashemAlsaket",12,2023-06-25,2024-03-29,22
pytorch/pytorch,Model development,Modeling & training,77209,20,0.03%,202,0.26%,20886,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"ezyang, malfet, zou3519",100+,2016-08-13,1000-01-01,29369
huggingface/peft,Model development,Modeling & training,13460,20,0.15%,125,0.93%,1199,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.,"pacman100, younesbelkada, BenjaminBossan",100+,2022-11-25,2024-03-12,0
microsoft/promptflow,AI engineering,AIE framework,7854,20,0.25%,80,1.02%,638,"Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.","zhengfeiwang, D-W-, PeiwenGaoMS",64,2023-06-30,2024-04-03,127
openai/tiktoken,Model development,Dataset engineering,9443,20,0.21%,130,1.38%,648,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,"hauntsaninja, alvarobartt, arvid220u",15,2022-12-01,2023-04-02,0
microsoft/DeepSpeed,Model development,Modeling & training,32280,20,0.06%,135,0.42%,3806,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.","jeffra, mrwyattii, tjruwase",100+,2020-01-23,2024-04-03,0
TabbyML/tabby,Applications,Coding,16837,20,0.12%,173,1.03%,667,Self-hosted AI coding assistant,"wsxiaoys, icycodes, boxbeam",62,2023-03-16,2024-04-04,3557
gradio-app/gradio,AI engineering,AI interface,28230,20,0.07%,275,0.97%,2073,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!","abidlabs, aliabd, dawoodkhan82",100+,2018-12-19,2024-04-04,0
huggingface/candle,Model development,Modeling & training,13002,20,0.15%,179,1.38%,682,Minimalist ML framework for Rust,"LaurentMazare, Narsil, radames",100+,2023-06-19,2024-04-04,0
Exafunction/codeium.vim,Applications,Coding,3216,19,0.59%,57,1.77%,115,"Free, ultrafast Copilot alternative for Vim and Neovim","fortenforge, pqn, sullivan-sean",37,2023-01-03,2024-02-27,0
haotian-liu/LLaVA,Model repo,Multimodal,15509,18,0.12%,198,1.28%,1639,[NeurIPS'23 Oral] Visual Instruction Tuning (LLaVA) built towards GPT-4V level capabilities and beyond.,"haotian-liu, ChunyuanLI, mattmazzola",42,2023-04-17,2024-02-02,0
danielmiessler/fabric,Applications,Workflow automation,9284,18,0.19%,184,1.98%,948,fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,"danielmiessler, xssdoctor, agu3rra",47,2024-01-03,2024-04-02,0
ml-explore/mlx,Model development,Modeling & training,13684,18,0.13%,153,1.12%,768,MLX: An array framework for Apple silicon,"awni, angeloskath, jagrit06",88,2023-11-28,2024-04-04,0
mckaywrigley/chatbot-ui,AI engineering,AI interface,25786,18,0.07%,175,0.68%,7058,AI chat for every model.,"mckaywrigley, fkesheh, bmpolonsky",41,2023-03-11,2024-04-02,0
activepieces/activepieces,Applications,Workflow automation,6956,17,0.24%,99,1.42%,745,Your friendliest open source all-in-one automation tool ✨ Workflow automation tool 100+ integration / Enterprise automation tool / Zapier Alternative,"abuaboud, AbdulTheActivePiecer, khaledmashaly",100+,2022-12-03,2024-04-04,0
lavague-ai/LaVague,Applications,Workflow automation,3639,17,0.47%,183,5.03%,290,Copilot for devs to automate automation,"lyie28, dhuynh95, mbrunel",10,2024-02-26,2024-04-04,0
unslothai/unsloth,Model development,Inference optimization,5304,17,0.32%,171,3.22%,251,2-5X faster 70% less memory QLoRA & LoRA finetuning,"danielhanchen, shimmyshimmer, HuyNguyen-hust",5,2023-11-29,2024-04-02,0
Stability-AI/generative-models,Model repo,,21798,17,0.08%,180,0.83%,2372,Generative Models by Stability AI,"timudk, akx, voletiv",16,2023-06-22,2024-03-18,0
explodinggradients/ragas,AI engineering,Evals,4192,17,0.41%,123,2.93%,364,Evaluation framework for your Retrieval Augmented Generation (RAG) pipelines,"shahules786, jjmachan, tinomaxthayil",78,2023-05-08,2024-04-01,0
NVIDIA/NeMo,Model development,Modeling & training,9856,17,0.17%,70,0.71%,2098,NeMo: a framework for generative AI,"okuchaiev, blisc, titu1994",100+,2019-08-05,2024-04-04,104939
microsoft/semantic-kernel,AI engineering,Agent,17762,17,0.10%,132,0.74%,2585,Integrate cutting-edge LLM technology quickly and easily into your apps,"shawncal, stephentoub, markwallace-microsoft",100+,2023-02-27,2024-04-04,31
openai/openai-python,AI engineering,AI interface,19494,16,0.08%,137,0.70%,2630,The official Python library for the OpenAI API,"hallacy, rachellim, logankilpatrick",97,2020-10-25,2024-04-04,0
linexjlin/GPTs,Lists,,26049,16,0.06%,133,0.51%,3480,leaked prompts of GPTs,"linexjlin, michaelskyba, qtxwang",28,2023-11-11,2024-04-01,0
PaddlePaddle/PaddleOCR,Model repo,Multimodal,37914,16,0.04%,166,0.44%,7184,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)","LDOUBLEV, WenmuZhou, MissPenguin",100+,2020-05-08,2024-04-01,0
openai/openai-cookbook,Tutorials,,55452,16,0.03%,167,0.30%,8729,Examples and guides for using the OpenAI API,"ted-at-openai, simonpfish, colin-openai",100+,2022-03-11,2024-04-02,0
PKU-YuanGroup/Open-Sora-Plan,Model repo,Multimodal,6439,16,0.25%,146,2.27%,586,"This project aim to reproduce Sora (Open AI T2V model), but we only have limited resource. We deeply wish the all open source community can contribute to this project.","LinB203, sennnnn, qqingzheng",29,2024-02-20,2024-03-18,0
AbanteAI/mentat,Applications,Coding,2239,16,0.71%,37,1.65%,200,Mentat - The AI Coding Assistant ,"PCSwingle, jakethekoenig, biobootloader",20,2023-07-25,2024-04-03,0
mshumer/gpt-llm-trainer,Model development,Dataset engineering,3681,15,0.41%,444,12.06%,458,,mshumer,1,2023-08-09,1000-01-01,0
Chainlit/chainlit,AI engineering,AIE framework,5162,15,0.29%,75,1.45%,630,Build Conversational AI in minutes ⚡️,"willydouhard, alimtunc, ramnes",43,2023-03-14,2024-04-04,0
leptonai/search_with_lepton,AI engineering,AIE framework,6743,15,0.22%,79,1.17%,775,Building a quick conversation-based search demo with Lepton AI.,"Yangqing, vthinkxie, SebastjanPrachovskij",4,2024-01-23,2024-01-30,0
