name,full_name,topics,description,created_at,updated_at,stargazers_count,forks_count,license
generative-ai-for-beginners,microsoft/generative-ai-for-beginners,"ai, azure, chatgpt, dall-e, generative-ai, generativeai, gpt, language-model, llms, openai, prompt-engineering, semantic-search, transformers","18 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",2023-06-19,2024-04-07,40273,21598,MIT License
n8n,n8n-io/n8n,"apis, automated, automation, cli, data-flow, development, docker, iaas, integration-framework, integrations, ipaas, low-code, low-code-development-platform, low-code-platform, n8n, node, self-hosted, typescript, workflow, workflow-automation",Free and source-available fair-code licensed workflow automation tool. Easily automate tasks across different services.,2019-06-22,2024-04-07,40135,4866,Other
MetaGPT,geekan/MetaGPT,"agent, gpt, hacktoberfest, llm, metagpt, multi-agent","🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",2023-06-30,2024-04-07,38304,4502,MIT License
ColossalAI,hpcaitech/ColossalAI,"ai, big-model, data-parallelism, deep-learning, distributed-computing, foundation-models, heterogeneous-training, hpc, inference, large-scale, model-parallelism, pipeline-parallelism","Making large AI models cheaper, faster and more accessible",2021-10-28,2024-04-07,37648,4227,Apache License 2.0
kong,Kong/kong,"ai, ai-gateway, api-gateway, api-management, apis, artificial-intelligence, cloud-native, consul, devops, docker, kong, kubernetes, kubernetes-ingress, kubernetes-ingress-controller, luajit, microservice, microservices, nginx, reverse-proxy, serverless",🦍 The Cloud-Native API Gateway and AI Gateway.,2014-11-17,2024-04-07,37377,4667,Apache License 2.0
text-generation-webui,oobabooga/text-generation-webui,no topic,"A Gradio web UI for Large Language Models. Supports transformers, GPTQ, AWQ, EXL2, llama.cpp (GGUF), Llama models.",2022-12-21,2024-04-07,35320,4708,GNU Affero General Public License v3.0
FastChat,lm-sys/FastChat,no topic,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",2023-03-19,2024-04-07,33287,4076,Apache License 2.0
quivr,QuivrHQ/quivr,"ai, api, chatbot, chatgpt, database, docker, frontend, groq, html, javascript, llm, openai, postgresql, privacy, rag, react, rest-api, security, typescript, vector","Your GenAI Second Brain 🧠  A personal productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Local & Private alternative to OpenAI GPTs & ChatGPT powered by retrieval-augmented generation.",2023-05-12,2024-04-07,31587,3052,Apache License 2.0
llama_index,run-llama/llama_index,"agents, application, data, fine-tuning, framework, llamaindex, llm, rag, vector-database",LlamaIndex is a data framework for your LLM applications,2022-11-02,2024-04-07,30328,4066,MIT License
spaCy,explosion/spaCy,"ai, artificial-intelligence, cython, data-science, deep-learning, entity-linking, machine-learning, named-entity-recognition, natural-language-processing, neural-network, neural-networks, nlp, nlp-library, python, spacy, text-classification, tokenization",💫 Industrial-strength Natural Language Processing (NLP) in Python,2014-07-03,2024-04-07,28617,4263,MIT License
llm-course,mlabonne/llm-course,"course, large-language-models, llm, machine-learning, roadmap",Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,2023-06-17,2024-04-07,27702,2810,Apache License 2.0
gpt-pilot,Pythagora-io/gpt-pilot,"ai, codegen, coding-assistant, developer-tools, gpt-4, research-project",The first real AI developer,2023-08-16,2024-04-07,27152,2684,MIT License
milvus,milvus-io/milvus,"anns, cloud-native, distributed, embedding-database, embedding-similarity, embedding-store, faiss, golang, hnsw, image-search, llm, nearest-neighbor-search, tensor-database, vector-database, vector-search, vector-similarity, vector-store","A cloud-native vector database, storage for next generation AI applications",2019-09-16,2024-04-07,26411,2542,Apache License 2.0
lobe-chat,lobehub/lobe-chat,"ai, azure-openai, chat, chatglm, chatgpt, claude, dalle-3, function-calling, gemini, gpt, gpt-4, gpt-4-vision, llama2, nextjs, ollama, openai, tts","🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Perplexity / Bedrock / Azure / Mistral / Ollama ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application.",2023-05-21,2024-04-07,26395,5941,MIT License
Langchain-Chatchat,chatchat-space/Langchain-Chatchat,"chatbot, chatchat, chatglm, chatglm-6b, chatglm2-6b, chatgpt, embedding, faiss, fastchat, gpt, knowledge-base, langchain, langchain-chatchat, langchain-chatglm, llama, llm, milvus, pgvector, streamlit, text2vec","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain ",2023-03-31,2024-04-07,26368,4633,Apache License 2.0
chatgpt-on-wechat,zhayujie/chatgpt-on-wechat,"ai, chatglm-4, chatgpt, claude3, dingtalk, feishu-bot, gemini, glm, gpt-4, linkai, llm, openai, python3, qwen, rag, wechat, wechat-bot, wenxinyiyan, xunfei-spark",基于大模型搭建的聊天机器人，同时支持 企业微信、微信 公众号、飞书、钉钉 等接入，可选择GPT3.5/GPT4.0/Claude/文心一言/讯飞星火/通义千问/Gemini/GLM-4/Claude/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,2022-08-07,2024-04-07,24167,6622,MIT License
autogen,microsoft/autogen,"agent-based-framework, agent-oriented-programming, agentic, agentic-agi, chat, chat-application, chatbot, chatgpt, gpt, gpt-35-turbo, gpt-4, llm-agent, llm-framework, llm-inference, llmops",A programming framework for agentic AI. Discord: https://aka.ms/autogen-dc. Roadmap: https://aka.ms/autogen-roadmap,2023-08-18,2024-04-07,24113,3355,Creative Commons Attribution 4.0 International
paper-reading,mli/paper-reading,"deep-learning, paper, reading-list",深度学习经典、新论文逐段精读,2021-10-22,2024-04-07,23972,2269,Apache License 2.0
Flowise,FlowiseAI/Flowise,"artificial-intelligence, chatgpt, javascript, large-language-models, llm, low-code, no-code, react, typescript",Drag & drop UI to build your customized LLM flow,2023-03-31,2024-04-07,23059,11784,Apache License 2.0
JARVIS,microsoft/JARVIS,"deep-learning, platform, pytorch","JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf",2023-03-30,2024-04-07,22921,1907,MIT License
mindsdb,mindsdb/mindsdb,"ai, ai-agents, artificial-intelligence, auto-gpt, chatbot, database, forecasting, gpt, gpt4all, hacktoberfest, huggingface, llm, machine-learning, ml, mongodb, mysql, postgres, semantic-search, timeseries",The platform for customizing AI from enterprise data,2018-08-02,2024-04-07,21079,2671,Other
chatgpt-retrieval-plugin,openai/chatgpt-retrieval-plugin,"chatgpt, chatgpt-plugins",The ChatGPT Retrieval Plugin lets you easily find personal or work documents by asking questions in natural language.,2023-03-23,2024-04-07,20803,3669,MIT License
dify,langgenius/dify,"ai, backend-as-a-service, gpt, gpt-4, langchain, llama2, llm, openai, orchestration, python, rag","Dify is an open-source LLM app development platform. It has the core tech required to build AI-native apps, including RAG, agent capabilities, model management, observability and more, packaged into one intuitive interface.",2023-04-12,2024-04-07,19117,2494,Other
localGPT,PromtEngineer/localGPT,no topic,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private. ,2023-05-24,2024-04-07,18995,2099,Apache License 2.0
LocalAI,mudler/LocalAI,"ai, alpaca, api, api-rest, audio-generation, coqui, falcon, gemma, gpt4all, image-generation, kubernetes, llama, llm, mamba, mistral, musicgen, rwkv, stable-diffusion, text-generation, tts",":robot: The free, Open Source OpenAI alternative. Self-hosted, community-driven and local-first. Drop-in replacement for OpenAI running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. It allows to generate Text, Audio, Video, Images. Also with voice cloning capabilities.",2023-03-18,2024-04-07,18659,1364,MIT License
awesome-dotnet,quozd/awesome-dotnet,"awesome, awesome-list, clr, csharp, dotnet, fsharp","A collection of awesome .NET libraries, tools, frameworks and software",2014-07-16,2024-04-07,18231,2582,Creative Commons Zero v1.0 Universal
unilm,microsoft/unilm,"beit, beit-3, bitnet, deepnet, document-ai, foundation-models, kosmos, kosmos-1, layoutlm, layoutxlm, llm, minilm, mllm, multimodal, nlp, pre-trained-model, textdiffuser, trocr, unilm, xlm-e","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities",2019-07-23,2024-04-07,18163,2350,MIT License
semantic-kernel,microsoft/semantic-kernel,"ai, artificial-intelligence, llm, openai, sdk",Integrate cutting-edge LLM technology quickly and easily into your apps,2023-02-27,2024-04-07,17823,2594,MIT License
vllm,vllm-project/vllm,"amd, cuda, gpt, inference, inferentia, llama, llm, llm-serving, llmops, mlops, model-serving, pytorch, rocm, trainium, transformer",A high-throughput and memory-efficient inference and serving engine for LLMs,2023-02-09,2024-04-07,17244,2214,Apache License 2.0
Chinese-LLaMA-Alpaca,ymcui/Chinese-LLaMA-Alpaca,"alpaca, alpaca-2, large-language-models, llama, llama-2, llm, lora, nlp, plm, pre-trained-language-models, quantization",中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs),2023-03-15,2024-04-07,16990,1757,Apache License 2.0
mlc-llm,mlc-ai/mlc-llm,"language-model, llm, machine-learning-compilation, tvm","Enable everyone to develop, optimize and deploy AI models natively on everyone's devices.",2023-04-29,2024-04-07,16511,1260,Apache License 2.0
jan,janhq/jan,"electron, gpt, llama2, llamacpp, localai, self-hosted",Jan is an open source alternative to ChatGPT that runs 100% offline on your computer,2023-08-17,2024-04-07,16220,881,GNU Affero General Public License v3.0
LLaMA-Factory,hiyouga/LLaMA-Factory,"agent, ai, baichuan, chatglm, fine-tuning, gpt, instruction-tuning, language-model, large-language-models, llama, llm, lora, mistral, moe, peft, qlora, quantization, qwen, rlhf, transformers",Unify Efficient Fine-Tuning of 100+ LLMs,2023-05-28,2024-04-07,15716,1908,Apache License 2.0
ChatGLM2-6B,THUDM/ChatGLM2-6B,"chatglm, chatglm-6b, large-language-models, llm",ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型,2023-06-24,2024-04-07,15392,1823,Other
SuperAGI,TransformerOptimus/SuperAGI,"agents, agi, ai, artificial-general-intelligence, artificial-intelligence, autonomous-agents, gpt-4, hacktoberfest, llm, llmops, nextjs, openai, pinecone, python, superagi","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.",2023-05-13,2024-04-07,14292,1691,MIT License
ML-YouTube-Courses,dair-ai/ML-YouTube-Courses,"ai, data-science, deep-learning, machine-learning, natural-language-processing, nlp",📺 Discover the latest machine learning / AI courses on YouTube.,2021-06-25,2024-04-07,14255,1701,Creative Commons Zero v1.0 Universal
kubesphere,kubesphere/kubesphere,"argocd, cloud-native, cncf, container-management, devops, ebpf, hacktoberfest, istio, jenkins, k8s, kubernetes, kubernetes-platform-solution, kubesphere, llm, multi-cluster, observability, servicemesh","The container platform tailored for Kubernetes multi-cloud, datacenter, and edge management ⎈ 🖥 ☁️",2018-04-21,2024-04-07,14241,2074,Apache License 2.0
DocsGPT,arc53/DocsGPT,"ai, gpt, hacktoberfest, hacktoberfest2023, natural-language-processing, python, react, web-app","GPT-powered chat for documentation, chat with your documents",2023-02-02,2024-04-07,14105,1386,MIT License
awesome-neovim,rockerBOO/awesome-neovim,"awesome, awesome-list, neovim, neovim-plugins, nvim-lua",Collections of awesome neovim plugins.,2020-09-18,2024-04-07,13839,624,Creative Commons Zero v1.0 Universal
Awesome-LLM,Hannibal046/Awesome-LLM,no topic,Awesome-LLM: a curated list of Large Language Model,2023-02-17,2024-04-07,13779,1056,Creative Commons Zero v1.0 Universal
evals,openai/evals,no topic,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.",2023-01-23,2024-04-07,13672,2478,Other
peft,huggingface/peft,"adapter, diffusion, llm, lora, parameter-efficient-learning, python, pytorch, transformers",🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.,2022-11-25,2024-04-07,13491,1207,Apache License 2.0
LLMs-from-scratch,rasbt/LLMs-from-scratch,"chatgpt, gpt, large-language-models, llm, python, pytorch","Implementing a ChatGPT-like LLM from scratch, step by step",2023-07-23,2024-04-07,13268,1098,Other
candle,huggingface/candle,no topic,Minimalist ML framework for Rust,2023-06-19,2024-04-07,13066,688,Apache License 2.0
open-webui,open-webui/open-webui,"ai, chromadb, llm, llm-ui, llm-webui, llms, ollama, ollama-webui, open-webui, rag, self-hosted, ui, webui",User-friendly WebUI for LLMs (Formerly Ollama WebUI),2023-10-06,2024-04-07,12177,1197,MIT License
FastGPT,labring/FastGPT,"gpt, gpt-35-turbo, gpt-4, gpt35, llm, nextjs, openai, rag, react","FastGPT is a knowledge-based platform built on the LLM, offers out-of-the-box data processing and model invocation capabilities, allows for workflow orchestration through Flow visualization!",2023-02-23,2024-04-07,11977,2965,Other
botpress,botpress/botpress,"agent, ai, botpress, chatbot, chatgpt, gpt, gpt-4, langchain, llm, nlp, openai, prompt",The open-source hub to build & deploy GPT/LLM Agents ⚡️,2016-11-16,2024-04-07,11878,1633,MIT License
RWKV-LM,BlinkDL/RWKV-LM,"attention-mechanism, chatgpt, deep-learning, gpt, gpt-2, gpt-3, language-model, linear-attention, lstm, pytorch, rnn, rwkv, transformer, transformers","RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding.",2021-08-08,2024-04-07,11464,792,Apache License 2.0
crewAI,joaomdmoura/crewAI,"agents, ai, ai-agents, llms","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",2023-10-27,2024-04-07,11391,1413,MIT License
PaddleNLP,PaddlePaddle/PaddleNLP,"bert, compression, distributed-training, document-intelligence, embedding, ernie, information-extraction, llama, llm, neural-search, nlp, paddlenlp, pretrained-models, question-answering, search-engine, semantic-analysis, sentiment-analysis, transformers, uie","👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc.",2021-02-05,2024-04-07,11297,2796,Apache License 2.0
the-incredible-pytorch,ritchieng/the-incredible-pytorch,"deep-learning, deep-learning-library, deep-learning-tutorial, deep-neural-networks, python, pytorch","The Incredible PyTorch: a curated list of tutorials, papers, projects, communities and more relating to PyTorch. ",2017-02-11,2024-04-07,10947,2063,MIT License
dolly,databrickslabs/dolly,"chatbot, databricks, dolly, gpt","Databricks’ Dolly, a large language model trained on the Databricks Machine Learning Platform",2023-03-24,2024-04-07,10772,1157,Apache License 2.0
ludwig,ludwig-ai/ludwig,"computer-vision, data-centric, data-science, deep, deep-learning, deeplearning, fine-tuning, learning, llama, llama2, llm, llm-training, machine-learning, machinelearning, mistral, ml, natural-language, natural-language-processing, neural-network, pytorch","Low-code framework for building custom LLMs, neural networks, and other AI models",2018-12-27,2024-04-07,10747,1162,Apache License 2.0
pandas-ai,Sinaptik-AI/pandas-ai,"ai, csv, data, data-analysis, data-science, database, datalake, gpt-3, gpt-4, llm, pandas, sql","Chat with your database (SQL, CSV, pandas, polars, mongodb, noSQL, etc). PandasAI makes data analysis conversational using LLMs (GPT 3.5 / 4, Anthropic, VertexAI) and RAG.",2023-04-22,2024-04-07,10697,952,Other
DB-GPT,eosphoros-ai/DB-GPT,"agents, bgi, database, gpt, gpt-4, langchain, llm, private, rag, security, vicuna",AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents,2023-04-13,2024-04-07,10693,1317,MIT License
langchainjs,langchain-ai/langchainjs,no topic,🦜🔗 Build context-aware reasoning applications 🦜🔗,2023-02-06,2024-04-07,10644,1749,MIT License
Qwen,QwenLM/Qwen,"chinese, flash-attention, large-language-models, llm, natural-language-processing, pretrained-models",The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,2023-08-03,2024-04-07,10374,849,Apache License 2.0
h2ogpt,h2oai/h2ogpt,"ai, chatgpt, embeddings, generative, gpt, gpt4all, llama2, llm, mixtral, pdf, private, privategpt, vectorstore","Private chat with local GPT with document, images, video, etc. 100% private, Apache 2.0. Supports oLLaMa, Mixtral, llama.cpp, and more. Demo: https://gpt.h2o.ai/ https://codellama.h2o.ai/",2023-03-24,2024-04-07,10249,1139,Apache License 2.0
llama-gpt,getumbrel/llama-gpt,"ai, chatgpt, code-llama, codellama, gpt, gpt-4, gpt4all, llama, llama-2, llama-cpp, llama2, llamacpp, llm, localai, openai, self-hosted","A self-hosted, offline, ChatGPT-like chatbot. Powered by Llama 2. 100% private, with no data leaving your device. New: Code Llama support!",2023-07-22,2024-04-07,10226,643,MIT License
nn-zero-to-hero,karpathy/nn-zero-to-hero,no topic,Neural Networks: Zero to Hero,2022-09-08,2024-04-07,10140,1177,MIT License
continue,continuedev/continue,"ai, chatgpt, copilot, developer-tools, intellij, jetbrains, llm, open-source, openai, pycharm, software-development, visual-studio-code, vscode",⏩ The easiest way to code with any LLM—Continue is an open-source autopilot for VS Code and JetBrains,2023-05-24,2024-04-07,10051,588,Apache License 2.0
open-llms,eugeneyan/open-llms,"commercial, large-language-models, llm, llms",📋 A list of open LLMs available for commercial use.,2023-05-05,2024-04-07,10001,598,Apache License 2.0
Awesome-Diffusion-Models,diff-usion/Awesome-Diffusion-Models,"artificial-intelligence, diffusion-models, generative-model, machine-learning, score-based, score-matching", A collection of resources and papers on Diffusion Models,2021-09-18,2024-04-07,9895,858,MIT License
NeMo,NVIDIA/NeMo,"asr, deeplearning, generative-ai, large-language-models, machine-translation, multimodal, neural-networks, speaker-diariazation, speaker-recognition, speech-synthesis, speech-translation, tts",NeMo: a framework for generative AI,2019-08-05,2024-04-07,9890,2104,Apache License 2.0
gitbutler,gitbutlerapp/gitbutler,"git, github, tauri","The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",2023-01-31,2024-04-07,9859,408,Other
awesome-chatgpt-zh,yzfly/awesome-chatgpt-zh,"agi, ai, awesome, awesome-list, chat-gpt, chatglm, chatgpt, chatgpt3, chatgpt35-turbo, claude, deeplearning, gpt, gpt-4, langchain, openai, openai-chatgpt, prompt, prompt-engineering, tools",ChatGPT 中文指南🔥，ChatGPT 中文调教指南，指令指南，应用开发指南，精选资源清单，更好的使用 chatGPT 让你的生产力 up up up! 🚀,2023-03-21,2024-04-07,9766,826,MIT License
gorilla,ShishirPatil/gorilla,"api, api-documentation, chatgpt, claude-api, gpt-4-api, llm, openai-api, openai-functions",Gorilla: An API store for LLMs,2023-05-19,2024-04-07,9753,719,Apache License 2.0
ml-engineering,stas00/ml-engineering,"ai, large-language-models, llm, machine-learning, machine-learning-engineering, mlops, pytorch, scalability, slurm, transformers",Machine Learning Engineering Open Book,2020-09-02,2024-04-07,9630,569,Creative Commons Attribution Share Alike 4.0 International
lists,jnv/lists,"awesome, awesome-list, curated-lists, hacktoberfest-not-accepted, lists, resources",The definitive list of lists (of lists) curated on GitHub and elsewhere,2013-11-14,2024-04-07,9512,688,Creative Commons Zero v1.0 Universal
ggml,ggerganov/ggml,"automatic-differentiation, large-language-models, machine-learning, tensor-algebra",Tensor library for machine learning,2022-09-18,2024-04-07,9467,845,MIT License
nlp_course,yandexdataschool/nlp_course,no topic,YSDA course in Natural Language Processing,2018-09-08,2024-04-07,9404,2506,MIT License
weaviate,weaviate/weaviate,"approximate-nearest-neighbor-search, generative-search, grpc, hnsw, hybrid-search, image-search, information-retrieval, mlops, nearest-neighbor-search, neural-search, recommender-system, search-engine, semantic-search, semantic-search-engine, similarity-search, vector-database, vector-search, vector-search-engine, vectors, weaviate","Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",2016-03-30,2024-04-07,9311,619,"BSD 3-Clause ""New"" or ""Revised"" License"
qlora,artidoro/qlora,no topic,QLoRA: Efficient Finetuning of Quantized LLMs,2023-05-11,2024-04-07,9276,761,MIT License
ChatRWKV,BlinkDL/ChatRWKV,"chatbot, chatgpt, language-model, pytorch, rnn, rwkv","ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13,2024-04-07,9251,677,Apache License 2.0
FlexGen,FMInference/FlexGen,"deep-learning, gpt-3, high-throughput, large-language-models, machine-learning, offloading, opt",Running large language models on a single GPU for throughput-oriented scenarios.,2023-02-15,2024-04-07,8964,516,Apache License 2.0
web-llm,mlc-ai/web-llm,"chatgpt, deep-learning, language-model, llm, tvm, webgpu, webml",Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.,2023-04-13,2024-04-07,8936,536,Apache License 2.0
OpenLLM,bentoml/OpenLLM,"ai, bentoml, falcon, fine-tuning, llama, llama2, llm, llm-inference, llm-ops, llm-serving, llmops, mistral, ml, mlops, model-inference, mpt, open-source-llm, openllm, stablelm, vicuna",Operating LLMs in production,2023-04-19,2024-04-07,8594,538,Apache License 2.0
mistral-src,mistralai/mistral-src,"llm, llm-inference, mistralai",Reference implementation of Mistral AI 7B v0.1 model.,2023-09-27,2024-04-07,8482,725,Apache License 2.0
MemGPT,cpacker/MemGPT,"chat, chatbot, gpt, gpt-4, llm, llm-agent",Building persistent LLM agents with long-term memory 📚🦙,2023-10-11,2024-04-07,8392,932,Apache License 2.0
embedchain,embedchain/embedchain,"ai, application, chatbots, chatgpt, embeddings, llm, python, rag, vector-database",Personalizing LLM Responses,2023-06-20,2024-04-07,8371,1027,Apache License 2.0
nebuly,nebuly-ai/nebuly,"ai, analytics, artificial-intelligence, deeplearning, large-language-models, llm",The user analytics platform for LLMs,2022-02-12,2024-04-07,8369,651,Apache License 2.0
Megatron-LM,NVIDIA/Megatron-LM,"large-language-models, model-para, transformers",Ongoing research training transformer models at scale,2019-03-21,2024-04-07,8356,1865,Other
ImageAI,OlafenwaMoses/ImageAI,"ai-practice-recommendations, algorithm, artificial-intelligence, artificial-neural-networks, densenet, detection, gpu, image-prediction, image-recognition, imageai, inceptionv3, machine-learning, object-detection, offline-capable, prediction, python, python3, squeezenet, video",A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities,2018-03-19,2024-04-07,8355,2157,MIT License
llama-recipes,meta-llama/llama-recipes,"ai, finetuning, langchain, llama, llama2, llm, machine-learning, python, pytorch, vllm","Scripts for fine-tuning Llama2 with composable FSDP & PEFT methods to cover single/multi-node GPUs. Supports default & custom datasets for applications such as summarization & question answering. Supporting a number of candid inference solutions such as HF TGI, VLLM for local or cloud deployment.Demo apps to showcase Llama2 for WhatsApp & Messenger",2023-07-17,2024-04-07,8147,1157,Other
shell_gpt,TheR1D/shell_gpt,"chatgpt, cheat-sheet, cli, commands, gpt-3, gpt-4, linux, llama, llm, ollama, openai, productivity, python, shell, terminal","A command-line productivity tool powered by AI large language models like GPT-4, will help you accomplish your tasks faster and more efficiently.",2023-01-18,2024-04-07,8131,636,MIT License
gpt-researcher,assafelovic/gpt-researcher,no topic,GPT based autonomous agent that does online comprehensive research on any given topic,2023-05-12,2024-04-07,7996,1014,MIT License
awesome-honeypots,paralax/awesome-honeypots,"awesome, awesome-list, honeyd, honeypot, list",an awesome list of honeypot resources,2015-06-18,2024-04-07,7970,1214,Artistic License 2.0
WasmEdge,WasmEdge/WasmEdge,"artificial-intelligence, cloud, cloud-native, cncf, container, docker, edge-computing, ewasm, hacktoberfest, hacktoberfest2023, kubernetes, rust-lang, serverless, wasm, webassembly","WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",2019-11-29,2024-04-07,7882,697,Apache License 2.0
promptflow,microsoft/promptflow,"ai, ai-application-development, ai-applications, chatgpt, gpt, llm, prompt, prompt-engineering","Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.",2023-06-30,2024-04-07,7880,641,MIT License
prompt-engineering,brexhq/prompt-engineering,no topic,Tips and tricks for working with Large Language Models like OpenAI's GPT-4.,2023-04-21,2024-04-07,7832,351,MIT License
minbpe,karpathy/minbpe,no topic,"Minimal, clean code for the Byte Pair Encoding (BPE) algorithm commonly used in LLM tokenization.",2024-02-16,2024-04-07,7811,671,MIT License
TypeChat,microsoft/TypeChat,"ai, llm, natural-language, types",TypeChat is a library that makes it easy to build natural language interfaces using types.,2023-06-20,2024-04-07,7732,362,MIT License
deeplake,activeloopai/deeplake,"ai, computer-vision, cv, data-science, data-version-control, datalake, datasets, deep-learning, image-processing, langchain, large-language-models, llm, machine-learning, ml, mlops, python, pytorch, tensorflow, vector-database, vector-search","Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",2019-08-09,2024-04-07,7659,583,Mozilla Public License 2.0
marker,VikParuchuri/marker,no topic,Convert PDF to markdown quickly with high accuracy,2023-10-30,2024-04-07,7631,291,GNU General Public License v3.0
